City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,newcastle west,52.4492,-9.0611,4.62,79,79,5.56,IE,1709414072
272,katsuren-haebaru,26.3369,127.8719,14.43,93,100,4.63,JP,1709414072
273,san ignacio,17.1561,-89.0714,33.08,58,75,3.09,BZ,1709414072
274,pachino,36.7186,15.0907,13.47,76,100,6.45,IT,1709414073
275,taiobeiras,-15.8078,-42.2331,24.84,77,100,0.63,BR,1709414073
276,ceret,42.4853,2.748,13.43,72,99,5.1,FR,1709414073
277,labrador city,52.9463,-66.9114,-4.34,75,100,2.24,CA,1709413896
278,tazovsky,67.4667,78.7,-7.79,96,98,4.71,RU,1709414073
279,tanabe,33.7333,135.3667,1.59,69,18,3.56,JP,1709414074
280,portland,45.5234,-122.6762,5.96,89,100,7.72,US,1709413750
281,skadovs'k,46.1161,32.9112,5.69,69,100,4.37,UA,1709414074
282,liman,48.9884,37.8023,1.68,68,0,7.59,UA,1709414074
283,nefteyugansk,61.0998,72.6035,-6.69,95,100,6.71,RU,1709414074
284,east london,-33.0153,27.9116,21.95,85,85,4.9,ZA,1709414074
285,st. john's,47.5649,-52.7093,-2.69,76,50,5.81,CA,1709413819
286,hermanus,-34.4187,19.2345,18.78,85,100,7.33,ZA,1709413913
287,kingscliff,-28.2667,153.5667,24.89,94,100,2.57,AU,1709414075
288,severobaykal'sk,55.65,109.3167,-16.39,96,100,1.55,RU,1709414075
289,lihue,21.9789,-159.3672,25.58,69,40,5.66,US,1709413961
290,arkhangel'sk,64.5401,40.5433,0.07,86,40,2.0,RU,1709414075
291,mundri,-6.9558,111.71,24.76,93,100,1.1,ID,1709414075
292,pisco,-13.7,-76.2167,28.03,61,0,4.12,PE,1709414075
293,ngama,11.7833,17.1667,31.77,14,100,4.45,TD,1709414076
294,lagoa,39.05,-27.9833,14.95,71,94,8.44,PT,1709414076
295,caleta de carquin,-11.0925,-77.6267,25.61,71,66,3.32,PE,1709413937
296,namtsy,62.7161,129.6658,-25.17,98,100,1.41,RU,1709414076
297,san narciso,15.0143,120.0803,23.87,75,14,3.06,PH,1709414076
298,paea,-17.6833,-149.5833,30.84,70,40,2.06,PF,1709414076
299,independencia,-5.3964,-40.3086,25.93,81,64,1.87,BR,1709414077
300,princeville,45.7668,-61.2985,6.97,71,50,2.68,CA,1709414077
301,uray,60.1247,64.7758,-5.07,89,99,4.02,RU,1709414077
302,yankton,42.8711,-97.3973,18.4,45,0,9.77,US,1709414077
303,guazacapan,14.0742,-90.4167,31.68,44,61,4.27,GT,1709414077
304,gidole,5.65,37.3667,19.0,56,98,2.74,ET,1709414077
305,questembert,47.6667,-2.4667,6.46,87,0,2.57,FR,1709414077
306,kyzylorda,44.8528,65.5092,-3.97,65,29,7.0,KZ,1709414078
307,porto novo,6.4965,2.6036,28.27,83,10,3.79,BJ,1709414078
308,dzhalagash,45.0833,64.6667,-4.22,67,6,5.94,KZ,1709414078
309,kamaishi,39.2667,141.8833,-2.25,70,30,2.1,JP,1709414078
310,howrah,22.5892,88.3103,25.0,83,40,2.06,IN,1709414078
311,novomyshastovskaya,45.1991,38.5827,8.43,66,100,6.63,RU,1709414078
312,fortuna,40.5982,-124.1573,7.42,93,75,3.6,US,1709413757
313,broome,42.2506,-75.833,7.6,96,100,0.45,US,1709414079
314,kalemie,-5.9475,29.1947,22.39,88,100,1.81,CD,1709414079
315,shenkursk,62.1091,42.896,-0.33,91,100,2.25,RU,1709414079
316,sisophon,13.5859,102.9737,28.13,50,89,2.72,KH,1709414079
317,cruzeiro do sul,-29.5128,-51.9853,31.71,73,81,1.47,BR,1709414079
318,mount pearl,47.5166,-52.7813,-3.15,76,36,3.13,CA,1709414079
319,nadi,-17.8,177.4167,31.0,70,20,2.57,FJ,1709414079
320,bereznik,62.8551,42.7072,-1.3,93,97,2.3,RU,1709414080
321,sur,22.5667,59.5289,18.44,49,94,3.25,OM,1709414080
322,dudinka,69.4058,86.1778,-10.21,92,100,9.51,RU,1709414080
323,itoman,26.1247,127.6694,14.43,94,75,6.17,JP,1709414080
324,yangambi,0.8102,24.4336,22.46,95,99,2.86,CD,1709414080
325,bel ombre,-4.6167,55.4167,27.67,79,66,7.15,SC,1709414080
326,taguatinga,-12.3857,-46.5711,28.86,73,98,1.24,BR,1709413925
327,maloye ganyushkino,46.6,49.2667,-0.01,72,100,5.88,KZ,1709414080
328,sanibel,26.449,-82.0223,26.16,80,100,2.68,US,1709414081
329,upington,-28.4478,21.2561,30.03,25,11,3.11,ZA,1709413963
330,les anglais,18.3054,-74.2197,26.77,71,26,1.61,HT,1709414081
331,kulhudhuffushi,6.6221,73.07,27.57,74,95,3.5,MV,1709414081
332,grande prairie,55.1667,-118.8027,-16.29,84,100,4.76,CA,1709414081
333,sergeyevka,53.88,67.4158,-18.36,100,100,2.88,KZ,1709414081
334,raunds,52.3443,-0.5366,4.23,91,74,2.68,GB,1709414081
335,el calafate,-50.3408,-72.2768,10.08,50,9,11.0,AR,1709414082
336,byford,-32.2167,116.0,26.01,62,100,6.17,AU,1709414082
337,san juan,-31.5375,-68.5364,27.23,25,97,9.76,AR,1709414082
338,rikaze,29.25,88.8833,0.01,51,0,1.46,CN,1709414082
339,kutum,14.2,24.6667,25.24,13,100,3.7,SD,1709414082
340,serra talhada,-7.9919,-38.2983,28.67,59,79,1.19,BR,1709414082
341,pierre,44.3683,-100.351,8.51,61,0,3.6,US,1709414083
342,brookings,44.3114,-96.7984,13.94,62,0,9.26,US,1709413819
343,carutapera,-1.195,-46.02,26.65,84,100,2.74,BR,1709414083
344,yampil',51.95,33.7833,-0.71,86,14,5.05,UA,1709414083
345,makoua,0.0069,15.6333,22.65,94,100,1.15,CG,1709414083
346,college,64.8569,-147.8028,-17.66,54,0,2.06,US,1709414083
347,katagum,12.2867,10.3527,29.48,9,100,4.64,NG,1709414083
348,howard springs,-12.497,131.047,26.1,95,100,0.8,AU,1709414084
349,codrington,-38.2667,141.9667,14.16,71,91,5.02,AU,1709414084
350,sungai penuh,-2.0833,101.3833,19.14,98,100,0.54,ID,1709414084
351,vadso,70.0744,29.7487,0.49,86,100,2.57,NO,1709414084
352,chibuto,-24.6867,33.5306,23.72,83,6,3.73,MZ,1709414084
353,aden,12.7794,45.0367,25.81,83,20,8.91,YE,1709414084
354,veseloyarsk,51.2836,81.1056,-11.68,96,100,2.4,RU,1709414084
355,sarmiento,-45.5882,-69.07,17.41,19,41,9.74,AR,1709414085
356,taunggyi,20.7833,97.0333,12.48,41,0,1.95,MM,1709414085
357,qaisumah,28.3112,46.1273,12.98,21,0,5.14,SA,1709414085
358,poronaysk,49.2167,143.1167,-12.74,97,100,1.74,RU,1709414085
359,sao tome,0.3365,6.7273,28.12,77,100,0.48,ST,1709414086
360,vorgashor,67.5833,63.95,-1.8,96,100,6.21,RU,1709414086
